violation_code|era|violation_description
34|post_2018|PLANT FOOD PROPERLY COOKED FOR HOT HOLDING
34|pre_2018|FLOORS: CONSTRUCTED PER CODE, CLEANED, GOOD REPAIR, COVING INSTALLED, DUST-LESS CLEANING METHODS USED
35|post_2018|APPROVED THAWING METHODS USED
35|pre_2018|WALLS, CEILINGS, ATTACHED EQUIPMENT CONSTRUCTED PER CODE: GOOD REPAIR, SURFACES CLEAN AND DUST-LESS CLEANING METHODS
36|post_2018|THERMOMETERS PROVIDED & ACCURATE
36|pre_2018|LIGHTING: REQUIRED MINIMUM FOOT-CANDLES OF LIGHT PROVIDED, FIXTURES SHIELDED
37|post_2018|FOOD PROPERLY LABELED; ORIGINAL CONTAINER
37|pre_2018|TOILET ROOM DOORS SELF CLOSING: DRESSING ROOMS WITH LOCKERS PROVIDED: COMPLETE SEPARATION FROM LIVING/SLEEPING QUARTERS
38|post_2018|INSECTS, RODENTS, & ANIMALS NOT PRESENT
38|pre_2018|VENTILATION: ROOMS AND EQUIPMENT VENTED AS REQUIRED: PLUMBING: INSTALLED AND MAINTAINED
39|post_2018|CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY
39|pre_2018|LINEN: CLEAN AND SOILED PROPERLY STORED
4|post_2018|PROPER USE OF RESTRICTION AND EXCLUSION
4|pre_2018|SOURCE OF CROSS CONTAMINATION CONTROLLED I.E. CUTTING BOARDS, FOOD  HANDLERS, UTENSILS, ETC
40|post_2018|PERSONAL CLEANLINESS
40|pre_2018|REFRIGERATION AND METAL STEM THERMOMETERS PROVIDED AND CONSPICUOUS
41|post_2018|WIPING CLOTHS: PROPERLY USED & STORED
41|pre_2018|PREMISES MAINTAINED FREE OF LITTER, UNNECESSARY ARTICLES, CLEANING  EQUIPMENT PROPERLY STORED
42|post_2018|WASHING FRUITS & VEGETABLES
42|pre_2018|APPROPRIATE METHOD OF HANDLING OF FOOD (ICE) HAIR RESTRAINTS AND CLEAN APPAREL WORN
43|post_2018|IN-USE UTENSILS: PROPERLY STORED
43|pre_2018|FOOD (ICE) DISPENSING UTENSILS, WASH CLOTHS PROPERLY STORED
44|post_2018|UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED
44|pre_2018|ONLY AUTHORIZED PERSONNEL IN THE FOOD-PREP AREA
45|post_2018|SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED
45|pre_2018|FOOD HANDLER REQUIREMENTS MET
46|post_2018|GLOVES USED PROPERLY
47|post_2018|FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED
48|post_2018|WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS
49|post_2018|NON-FOOD/FOOD CONTACT SURFACES CLEAN
5|post_2018|PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS
5|pre_2018|PERSONNEL WITH INFECTIONS RESTRICTED: NO OPEN SORES, WOUNDS, ETC
50|post_2018|HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE
51|post_2018|PLUMBING INSTALLED; PROPER BACKFLOW DEVICES
52|post_2018|SEWAGE & WASTE WATER PROPERLY DISPOSED
53|post_2018|TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED
54|post_2018|GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED
55|post_2018|PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN
56|post_2018|ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED
57|post_2018|ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING
58|post_2018|ALLERGEN TRAINING AS REQUIRED
59|post_2018|PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED
6|post_2018|PROPER EATING, TASTING, DRINKING, OR TOBACCO USE
6|pre_2018|HANDS WASHED AND CLEANED, GOOD HYGIENIC PRACTICES; NO BARE HAND CONTACT WITH READY-TO-EAT FOODS.
60|post_2018|PREVIOUS CORE VIOLATION CORRECTED
61|post_2018|SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC
62|post_2018|COMPLIANCE WITH CLEAN INDOOR AIR ORDINANCE
63|post_2018|REMOVAL OF SUSPENSION SIGN
64|post_2018|MISCELLANEOUS / PUBLIC HEALTH ORDERS
7|post_2018|NO DISCHARGE FROM EYES, NOSE, AND MOUTH
7|pre_2018|WASH AND RINSE WATER: CLEAN AND PROPER TEMPERATURE
70|pre_2018|NO SMOKING REGULATIONS
8|post_2018|HANDS CLEAN & PROPERLY WASHED
8|pre_2018|SANITIZING RINSE FOR EQUIPMENT AND UTENSILS:  CLEAN, PROPER TEMPERATURE, CONCENTRATION, EXPOSURE TIME
9|post_2018|NO BARE HAND CONTACT WITH RTE FOOD OR A PRE-APPROVED ALTERNATIVE PROCEDURE PROPERLY ALLOWED
9|pre_2018|WATER SOURCE: SAFE, HOT & COLD UNDER CITY PRESSURE
