facility_id|license|dba_name|facility_type|address|city|state|zip|latitude|longitude|location|has_location
29159|2542591|PURPLE TULIP CAKERY, L.L.C.|Bakery|5243 N HARLEM AVE |CHICAGO|IL|60656|41.976778|-87.806867|(41.976778095182205, -87.80686685787015)|t
29160|2542592|WINGSTOP|Restaurant|1521 E 87TH ST|CHICAGO|IL|60619|41.736782|-87.587126|"
,  
(41.736782316890434, -87.58712604619033)"|t
29161|2542650|WAHMEI FOOD CORP|Grocery Store|2409 S WENTWORTH AVE|CHICAGO|IL|60616|41.848868|-87.631780|"
,  
(41.84886788715507, -87.63178011327585)"|t
29162|2542652|METROPOLITAN BREWING|Restaurant|3057 N ROCKWELL ST |CHICAGO|IL|60618|41.937395|-87.692738|(41.93739494901925, -87.69273768966114)|t
29163|2542653|BIRRIERIA AGUASCALIENTES|Restaurant|5756-5758 W BELMONT AVE |CHICAGO|IL|60634|41.938622|-87.771221|(41.93862238762064, -87.7712206922148)|t
29164|2542670|QUON YICK FOOD CO.|Bakery|639 W 26TH ST|CHICAGO|IL|60616|41.845265|-87.642977|"
,  
(41.8452647795405, -87.64297680126111)"|t
29165|2542744|THE BIRD CAGE|Restaurant|5308-5312 N CLARK ST |CHICAGO|IL|60640|41.978342|-87.668484|(41.978342059241015, -87.66848426596569)|t
29166|2542745|OCTAVIO CANTINA & KITCHEN|Restaurant|5308-5312 N CLARK ST |CHICAGO|IL|60640|41.978342|-87.668484|(41.978342059241015, -87.66848426596569)|t
29167|2542752|WINGSTOP|Restaurant|3720 N BROADWAY|CHICAGO|IL|60613|41.949736|-87.648879|"
,  
(41.94973626746561, -87.64887948630131)"|t
29168|2542789|LUGANOS PIZZA|Restaurant|4460 S KEDZIE AVE|CHICAGO|IL|60632|41.811846|-87.704268|"
,  
(41.81184584593964, -87.70426833410366)"|t
29169|2542856|WILSON GROCERY|Grocery Store|928 W WILSON AVE |CHICAGO|IL|60640|41.965558|-87.653559|(41.965557700702384, -87.65355927902117)|t
29170|2542863|DILL PICKLE FOOD CO-OP|Grocery Store|2746 N MILWAUKEE AVE|CHICAGO|IL|60647|41.930989|-87.710785|"
,  
(41.9309887557474, -87.71078516828324)"|t
29171|2542865|DILL PICKLE FOOD CO-OP|Grocery Store|2746 N MILWAUKEE AVE |CHICAGO|IL|60647|41.930989|-87.710785|(41.9309887557474, -87.71078516828324)|t
29172|2542870|Cooked Chicago|Shared Kitchen|2616 N Cicero AVE |CHICAGO|IL|60639|41.928454|-87.746616|(41.9284540814084, -87.7466156310558)|t
29173|2542877|LINDA MICHOACANA|Restaurant|2753 W 55TH ST |CHICAGO|IL|60632|41.793587|-87.693481|(41.79358650618111, -87.6934808799233)|t
29174|2542887|LAGUNITAS BREWING COMPANY|Restaurant|1843 S WASHTENAW AVE |CHICAGO|IL|60608|41.856211|-87.692985|(41.85621052154579, -87.69298503222241)|t
29175|2542888|LAGUNITAS BREWING COMPANY|Restaurant|1843 S WASHTENAW AVE|CHICAGO|IL|60608|41.856211|-87.692985|"
,  
(41.85621052154579, -87.69298503222241)"|t
29176|2542889|LAGUNITAS BREWING COMPANY|Restaurant|1843 S WASHTENAW AVE |CHICAGO|IL|60608|41.856211|-87.692985|(41.85621052154579, -87.69298503222241)|t
29177|2542894|PERSONA|TAVERN|408-412 S WELLS ST |CHICAGO|IL|60607|41.876603|-87.633835|(41.87660327686281, -87.63383461256606)|t
29178|2542896|DECOLORES RESTAURANT|Restaurant|1626 S HALSTED ST |CHICAGO|IL|60608|41.859183|-87.646830|(41.85918260635193, -87.64682982484355)|t
29179|2542897|DECOLORES RESTAURANT|Restaurant|1626 S HALSTED ST |CHICAGO|IL|60608|41.859183|-87.646830|(41.85918260635193, -87.64682982484355)|t
